Id,Creation Time,T5_query_rewriter,data_usage_type,run_type,Sum of BLEU,Sum of ROGUE,ndcg3_score,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,b_s_2,b_s_3,b_s_4,b_s_5,b_s_6,b_s_7,b_s_8,b_s_9,b_s_10,r_s_2 f_measure,r_s_3 f_measure,r_s_4 f_measure,r_s_5 f_measure,r_s_6 f_measure,r_s_7 f_measure,r_s_8 f_measure,r_s_9 f_measure,r_s_10 f_measure
QUER-689,2022-10-05 08:30:31,personal,all_similar_sentences,testing_everything,60.83,81.85,0.2509275497858382,0.27467675973365824,0.3346367306859505,0.225586144179721,0.15535481124848605,0.2827442556698346,0.27366979874623304,0.19074397053082096,0.12428513840645845,0.3217794263455655,57.27,62.72,58.51,71.05,63.11,63.00,54.10,44.95,72.63,79.43,86.11,81.75,88.10,85.90,82.34,77.08,66.13,89.79
QUER-688,2022-10-05 06:53:33,base,one_similar_sentence,testing_query_rewriting,59.16,84.56,,,,,,,,,,,58.79,59.58,65.31,57.29,59.33,68.05,51.00,39.40,66.12,87.80,87.12,86.70,83.50,84.99,89.27,82.41,74.26,84.97
QUER-687,2022-10-05 06:52:49,base,one_similar_sentence,testing_everything,58.55,84.54,0.28100971207883463,0.395324503980997,0.34531686200397693,0.2839576818374732,0.17237660407613414,0.33179491064794775,0.26529671619157946,0.18068358530274978,0.16519478933078496,0.3412188391207717,57.53,56.85,64.75,64.77,60.72,59.42,51.36,44.95,69.23,87.15,85.57,86.27,85.79,86.00,84.66,82.01,75.95,87.46
QUER-686,2022-10-05 05:06:07,personal,one_similar_sentence,testing_query_rewriting,62.97,83.32,,,,,,,,,,,53.60,63.32,60.90,71.22,62.14,69.44,63.64,53.30,72.30,77.41,86.46,82.84,88.66,85.77,84.56,83.64,69.11,91.41
QUER-685,2022-10-05 05:05:23,personal,one_similar_sentence,testing_everything,63.34,83.27,0.2605605957594014,0.27467675973365824,0.36933653731335164,0.2509093496931317,0.15972813365648297,0.2918103807964382,0.27577103626095295,0.21438889927340063,0.07888457142743288,0.3430400889296572,57.27,63.07,61.20,71.33,65.97,61.81,64.74,58.40,70.31,79.43,86.32,83.33,88.76,88.51,80.27,82.82,70.29,89.71
QUER-684,2022-10-05 03:35:54,base,no_paragraph,testing_query_rewriting,60.45,84.77,,,,,,,,,,,59.01,60.52,63.08,61.94,59.91,66.57,54.51,47.62,69.15,87.29,87.71,85.43,84.62,85.37,88.15,82.17,75.22,86.95
QUER-683,2022-10-05 03:35:08,base,no_paragraph,testing_everything,60.45,84.77,0.30101997648308937,0.3808745362306671,0.412663430381308,0.2877886277305413,0.1986809291406676,0.34616611517553736,0.3110164983464408,0.1672268166982851,0.2532015406943178,0.3412188391207717,59.01,60.52,63.08,61.94,59.91,66.57,54.51,47.62,69.15,87.29,87.71,85.43,84.62,85.37,88.15,82.17,75.22,86.95
QUER-682,2022-10-05 01:42:44,personal,no_paragraph,testing_query_rewriting,63.48,83.38,,,,,,,,,,,56.49,63.07,61.38,71.22,62.14,67.94,66.46,53.86,70.31,78.83,86.32,83.10,88.66,85.77,84.00,84.62,69.46,89.71
QUER-681,2022-10-05 01:42:02,personal,no_paragraph,testing_everything,63.48,83.38,0.2562195725075859,0.24943956959079996,0.36933653731335164,0.245110879265105,0.15972813365648297,0.27541547282753476,0.27146732475952357,0.22356331769487106,0.09384007761388435,0.3430400889296572,56.49,63.07,61.38,71.22,62.14,67.94,66.46,53.86,70.31,78.83,86.32,83.10,88.66,85.77,84.00,84.62,69.46,89.71
QUER-680,2022-10-04 23:30:51,base,previous_query,testing_query_rewriting,58.77,83.49,,,,,,,,,,,59.01,60.74,68.37,61.71,55.58,65.89,52.12,35.78,44.44,87.29,88.20,89.67,85.39,82.72,85.05,79.56,75.07,78.44
QUER-679,2022-10-04 23:30:03,base,previous_query,testing_everything,58.77,83.49,0.28584115171663793,0.3808745362306671,0.3899143087240511,0.31629429442846674,0.17576210637913792,0.30146069220453336,0.28423281296443087,0.18846785921159326,0.13061260495853447,0.2665482761271491,59.01,60.74,68.37,61.71,55.58,65.89,52.12,35.78,44.44,87.29,88.20,89.67,85.39,82.72,85.05,79.56,75.07,78.44
QUER-678,2022-10-04 20:27:58,personal,previous_query,testing_query_rewriting,55.78,80.64,,,,,,,,,,,56.49,55.99,54.43,56.49,64.17,62.28,47.98,42.22,46.40,78.83,80.58,80.51,83.49,87.90,81.69,79.98,74.00,78.80
QUER-677,2022-10-04 20:27:19,personal,previous_query,testing_everything,55.78,80.64,0.19228045764066348,0.24943956959079996,0.29563842055542794,0.17622482480093432,0.07022634575617286,0.13288796573140996,0.18735365414418528,0.15387423498067695,0.030132977541191507,0.3002812154988795,56.49,55.99,54.43,56.49,64.17,62.28,47.98,42.22,46.40,78.83,80.58,80.51,83.49,87.90,81.69,79.98,74.00,78.80
QUER-672,2022-10-04 16:14:47,,,testing_retrieval_reranking,,,0.33313411224205464,0.3925634624484877,0.3607674982044455,0.3756112829641019,0.21581349229434665,0.4169740171172604,0.36498533426683194,0.2644942309916673,0.18193247340329483,0.4474528618450744,,,,,,,,,,,,,,,,,,
QUER-671,2022-10-04 14:15:17,,,manual,99.48,100.00,,,,,,,,,,,100.00,100.00,100.00,100.00,100.00,100.00,100.00,90.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00
