Id,Creation Time,T5_query_rewriter,data_usage_type,ndcg3_sum,bleu_sum,rouge_sum,run_type,bleu_1,bleu_2,bleu_3,bleu_4,bleu_5,bleu_6,bleu_7,bleu_8,bleu_9,bleu_10,bleu_11,bleu_12,ndcg_1,ndcg_2,ndcg_3,ndcg_4,ndcg_5,ndcg_6,ndcg_7,ndcg_8,ndcg_9,ndcg_10,ndcg_11,ndcg_12,rouge_1,rouge_2,rouge_3,rouge_4,rouge_5,rouge_6,rouge_7,rouge_8,rouge_9,rouge_10,rouge_11,rouge_12
QUER1-162,2022-12-23 07:00:10,personal,all_paragraphs_summarized_short_then_combined,0.22800188858268305,49.17,76.46,canonical,89.59,41.15,44.36,38.21,46.22,49.23,44.71,49.19,36.52,48.51,38.17,66.90,0.3747944436331389,0.2694131972795777,0.30920174033569847,0.13795399676481698,0.1665997856343138,0.20837869873956474,0.2261244714238971,0.18018551494107077,0.17793018951038278,0.23658180603347745,0.0,0.0,97.99,77.02,75.03,72.86,75.07,70.83,75.55,70.28,64.26,82.06,84.30,95.10
QUER1-161,2022-12-23 05:18:39,personal,all_paragraphs_summarized_short_then_combined,0.2220373062228291,48.67,75.24,automatic,89.59,43.16,42.19,38.78,44.47,47.12,46.13,44.79,36.69,50.09,26.14,66.90,0.3747944436331389,0.2432006682371186,0.2830301464089211,0.14823980052530136,0.1970924724701383,0.2008068829153227,0.20501948262196498,0.16660090650313863,0.14965689873109272,0.26531264189962833,0.053407712338838564,0.0,97.99,78.26,72.99,73.35,72.69,70.22,73.24,67.74,62.94,77.40,69.73,95.10
QUER1-160,2022-12-23 03:36:50,base,one_mid_summarized_paragraph,0.2698151492941501,54.16,80.29,canonical,89.59,49.82,42.04,51.47,47.23,50.07,49.50,54.16,40.37,61.08,61.38,66.90,0.3747944436331389,0.28040909219840915,0.35449108566745813,0.19361103420678194,0.21398655856153467,0.24884800178332958,0.23673587916968705,0.2980938676204024,0.17077866107761008,0.3264779845341321,0.36009307028393756,0.0,97.99,79.31,72.86,82.89,77.97,76.39,77.70,79.71,68.53,89.39,85.67,95.10
QUER1-159,2022-12-23 01:44:11,base,one_mid_summarized_paragraph,0.26071971324987037,51.29,77.91,automatic,89.59,46.26,40.27,50.11,49.01,51.59,44.07,44.44,39.03,40.79,38.17,66.90,0.3747944436331389,0.23986389907412112,0.38918595827279945,0.18874171248774552,0.22183612878797976,0.24306464161611974,0.26956597010421673,0.22620575572694035,0.17209516861645852,0.28520447841932417,0.0,0.0,97.99,76.40,73.19,79.66,78.42,75.63,71.76,74.81,65.22,77.25,78.11,95.10
QUER1-158,2022-12-22 23:51:09,personal,one_mid_summarized_paragraph,0.24972613841460323,50.97,77.23,canonical,89.59,47.45,39.62,39.62,53.61,48.44,44.57,42.59,33.01,56.04,62.72,66.90,0.3747944436331389,0.27468524522309834,0.264655253276178,0.13484773476902442,0.2625854997966097,0.23154008144426744,0.2362121992318268,0.2291834337886933,0.2267989383437583,0.33286148806819366,0.19342640361727081,0.0,97.99,80.35,73.06,75.36,79.87,71.23,74.23,68.30,60.85,87.83,90.33,95.10
QUER1-157,2022-12-22 21:58:47,personal,one_mid_summarized_paragraph,0.20349777534961808,48.11,75.05,automatic,89.59,42.91,41.95,38.90,47.50,47.40,41.25,44.31,38.16,46.29,38.17,66.90,0.3747944436331389,0.19670619418312335,0.3098710598363715,0.13218744009672667,0.1783212454371246,0.16415444155637032,0.17130812543601803,0.13904392749697114,0.13613531161467857,0.25382238756692477,0.0,0.0,97.99,76.55,74.47,74.00,76.66,67.51,69.97,66.47,60.45,80.71,84.30,95.10
QUER1-156,2022-12-22 20:07:19,base,one_short_summarized_paragraph,0.2712289760571643,51.98,79.30,canonical,89.59,45.47,43.99,43.14,47.52,55.19,45.62,49.30,40.40,55.20,56.41,66.90,0.3747944436331389,0.27978808887697576,0.30298241183739966,0.18146901081236969,0.2569653334001495,0.3043808789051748,0.27087762881521765,0.2123926660071734,0.20587132646913714,0.33766837799915456,0.40876468265396726,0.0,97.99,78.09,73.19,78.89,77.24,79.74,76.14,77.18,64.97,87.83,82.14,95.10
QUER1-155,2022-12-22 18:25:28,base,one_short_summarized_paragraph,0.27832516916741923,51.61,78.88,automatic,89.59,45.54,43.77,45.58,47.10,54.50,48.05,48.87,36.79,40.96,28.51,66.90,0.3747944436331389,0.25844462772371984,0.34578900614529007,0.20930640575338974,0.1898551811518706,0.3242446938677645,0.28319650097788496,0.2305346257146297,0.31213078445963627,0.26126532491596405,0.5,0.0,97.99,76.95,73.92,77.61,75.95,78.85,77.55,78.39,63.83,80.12,72.92,95.10
QUER1-154,2022-12-22 16:43:37,personal,one_short_summarized_paragraph,0.2568648959132527,50.85,77.52,canonical,89.59,41.15,45.17,41.10,52.38,52.93,44.60,45.25,42.98,58.14,43.11,66.90,0.3747944436331389,0.2694131972795777,0.27928326997006625,0.13689882208339368,0.2266399985517527,0.3003583884514536,0.21592966095420887,0.2510815296291193,0.27502834026045814,0.3437971091717784,0.13947147282556482,0.0,97.99,77.02,75.71,75.99,78.29,74.11,75.97,66.09,65.44,89.23,82.96,95.10
QUER1-153,2022-12-22 15:04:42,personal,one_short_summarized_paragraph,0.2423001426826078,48.64,76.70,automatic,89.59,43.16,42.00,39.89,45.61,50.35,42.83,40.72,33.43,47.39,38.17,66.90,0.3747944436331389,0.2432006682371186,0.32191225966293074,0.171188862416549,0.19944094122929312,0.25980566326102184,0.2269754373243563,0.2115891396995939,0.16946881051452117,0.2135333640201965,0.0,0.0,97.99,78.26,75.11,75.25,76.01,73.58,74.05,67.30,63.03,78.91,84.30,95.10
